
AMDuProfPcm Report

Processor Name:,AMD Ryzen 7 7735H with Radeon Graphics
System:,Family(0x19) Model(0x44) Stepping(0x1)
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

Core P0 state frequency (MHz):,3200.000000
Multiplex interval (ms):,100
Sample interval (ms):,1000
Data Collection Driver:,MSR Driver
Version:,5.2.431.0 (Public)

Hypervisor Info:
Hypervisor Enabled:,True
Hypervisor Supported:,True
Hypervisor Vendor:,Microsoft Hyper-V
Root/Host Partition:,1
Command:,"AMDuProfPcm -m cache_miss,l2 -s -o cache_result.csv -- .\BX_lab01_1.exe"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/31 11:15:32:025
,CORE METRICS,,,,,,,,,,,,,,,,
,System (Aggregated),,,,,,,,,,,,,,,,
Timestamp,L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L1 DC Miss (pti),L2 Data Read Miss (pti),L1 IC Miss (pti),L2 Code Read Miss (pti),
00:00:01:033,152.46,135.77,41.19,16.59,108.45,76.00,20.86,11.60,84.56,62.96,16.23,4.99,43.43,32.62,166.44,84.85,
00:00:02:057,153.24,88.98,29.91,25.83,74.79,43.32,12.11,19.36,50.12,27.29,16.44,6.47,38.49,49.00,157.08,81.16,
00:00:03:088,169.99,139.22,35.15,23.66,117.46,81.68,19.12,16.65,57.72,36.03,13.51,7.01,37.70,31.87,168.55,84.81,
00:00:04:125,195.55,157.55,41.24,16.45,126.90,93.33,21.99,11.58,83.56,59.92,17.92,4.87,43.49,23.94,110.48,54.92,
00:00:05:151,186.14,117.64,34.22,16.22,91.53,64.10,15.65,11.79,72.81,51.94,16.05,4.43,44.60,29.28,119.50,62.59,
00:00:06:199,173.55,69.03,18.88,16.80,61.17,39.59,9.52,12.06,48.72,25.62,18.28,4.74,24.92,27.90,22.50,17.59,
00:00:07:251,158.66,77.13,30.91,14.04,51.23,31.46,10.06,9.71,71.89,48.87,17.67,4.33,39.31,23.97,184.35,97.23,
00:00:08:287,206.12,125.76,37.08,41.06,116.60,72.33,18.10,26.18,85.26,51.02,18.28,14.88,40.56,35.80,190.81,102.01,
00:00:09:318,161.53,117.18,32.95,12.53,94.99,67.94,18.12,8.94,80.41,56.80,17.74,3.59,33.78,31.40,132.80,58.50,
00:00:10:362,234.60,72.71,63.20,18.01,88.99,58.97,16.75,13.28,69.39,23.31,42.34,4.73,42.89,30.28,193.29,100.30,
00:00:11:389,216.07,130.39,36.69,17.18,112.38,79.49,20.20,12.69,80.49,47.43,28.26,4.48,35.07,26.52,155.59,81.67,
00:00:12:438,133.94,121.45,40.36,12.53,89.42,63.44,17.35,8.64,68.83,42.31,22.26,3.89,39.80,21.27,173.80,87.73,
