group,strategy,rerank_k,nprobe,nlist,threads,ef,recall,latency_us
flat,0,-,-,256,4,64,0.99995,6298.21
flat,1,-,-,256,1,64,0.99995,5616.41
flat,2,-,-,256,1,64,0.99995,6715.98
flat,1,-,-,256,2,64,0.99995,3121.04
flat,2,-,-,256,2,64,0.99995,3659.47
flat,1,-,-,256,4,64,0.99995,1598.68
flat,2,-,-,256,4,64,0.99995,1919.37
flat,1,-,-,256,8,64,0.99995,2229.82
flat,2,-,-,256,8,64,0.99995,1810.01
pq,3,50,-,256,4,64,0.5669,1108.69
pq,4,50,-,256,4,64,0.5669,1141.2
pq,3,100,-,256,4,64,0.716652,1158.76
pq,4,100,-,256,4,64,0.716652,1185.58
pq,3,200,-,256,4,64,0.839054,1253.28
pq,4,200,-,256,4,64,0.839054,1250.78
pq,3,500,-,256,4,64,0.946104,1488.43
pq,4,500,-,256,4,64,0.946104,1558.64
pq,3,1000,-,256,4,64,0.980602,1978.24
pq,4,1000,-,256,4,64,0.980602,1923.06
pq,5,500,-,256,1,64,0.946104,1577.44
pq,6,500,-,256,1,64,0.946104,1556.05
pq,5,500,-,256,2,64,0.980452,904.73
pq,6,500,-,256,2,64,0.980452,1029.31
pq,5,500,-,256,4,64,0.995001,620.13
pq,6,500,-,256,4,64,0.995001,754.07
pq,5,500,-,256,8,64,0.99915,1808.93
pq,6,500,-,256,8,64,0.99915,1118.45
ivf,7,-,4,256,4,64,0.800152,123.64
ivf,7,-,8,256,4,64,0.898553,333.37
ivf,7,-,16,256,4,64,0.958303,448.03
ivf,7,-,32,256,4,64,0.987552,820.24
ivf,7,-,64,256,4,64,0.9974,2146.96
ivf,8,-,16,256,1,64,0.958303,569.04
ivf,9,-,16,256,1,64,0.958303,629.12
ivf,8,-,16,256,2,64,0.958303,365.28
ivf,9,-,16,256,2,64,0.958303,355.82
ivf,8,-,16,256,4,64,0.958303,228.56
ivf,9,-,16,256,4,64,0.958303,275.87
ivf,8,-,16,256,8,64,0.958303,611.25
ivf,9,-,16,256,8,64,0.958303,259.5
ivf,8,-,4,256,4,64,0.800152,96.78
ivf,9,-,4,256,4,64,0.800152,138.71
ivf,8,-,8,256,4,64,0.898553,127.35
ivf,9,-,8,256,4,64,0.898553,195.41
ivf,8,-,16,256,4,64,0.958303,206.49
ivf,9,-,16,256,4,64,0.958303,291.72
ivf,8,-,32,256,4,64,0.987552,380.61
ivf,9,-,32,256,4,64,0.987552,477.5
ivf,8,-,64,256,4,64,0.9974,665.36
ivf,9,-,64,256,4,64,0.9974,813.93
ivfpq,10,500,4,256,4,64,0.783602,276.69
ivfpq,13,500,4,256,4,64,0.794902,341.89
ivfpq,10,500,8,256,4,64,0.865403,366.53
ivfpq,13,500,8,256,4,64,0.885853,525.03
ivfpq,10,500,16,256,4,64,0.910653,481.93
ivfpq,13,500,16,256,4,64,0.940054,799.37
ivfpq,10,500,32,256,4,64,0.931104,648.34
ivfpq,13,500,32,256,4,64,0.961904,1227.65
ivfpq,10,500,64,256,4,64,0.935904,894.76
ivfpq,13,500,64,256,4,64,0.968903,2003.78
ivfpq,11,500,16,256,1,64,0.910653,493.58
ivfpq,12,500,16,256,1,64,0.910653,549.09
ivfpq,14,500,16,256,1,64,0.937104,870.33
ivfpq,15,500,16,256,1,64,0.938054,958.27
ivfpq,11,500,16,256,2,64,0.942103,376.85
ivfpq,12,500,16,256,2,64,0.941853,453.18
ivfpq,14,500,16,256,2,64,0.953353,620.42
ivfpq,15,500,16,256,2,64,0.954103,683.47
ivfpq,11,500,16,256,4,64,0.953753,336.14
ivfpq,12,500,16,256,4,64,0.953253,415.05
ivfpq,14,500,16,256,4,64,0.957553,472.22
ivfpq,15,500,16,256,4,64,0.957653,532.43
ivfpq,11,500,16,256,8,64,0.955153,1349.07
ivfpq,12,500,16,256,8,64,0.955303,440.65
ivfpq,14,500,16,256,8,64,0.957903,940.76
ivfpq,15,500,16,256,8,64,0.957803,484.1
hnsw,16,-,-,256,4,16,0.871254,158.28
hnsw,17,-,-,256,4,16,0.99635,341.68
hnsw,18,-,-,256,4,16,0.99635,499.24
hnsw,16,-,-,256,4,32,0.946954,253.71
hnsw,17,-,-,256,4,32,0.99635,291.61
hnsw,18,-,-,256,4,32,0.99635,557.54
hnsw,16,-,-,256,4,64,0.981102,368.49
hnsw,17,-,-,256,4,64,0.99635,443.13
hnsw,18,-,-,256,4,64,0.99635,619.46
hnsw,16,-,-,256,4,128,0.995151,755.22
hnsw,17,-,-,256,4,128,0.99635,335.55
hnsw,18,-,-,256,4,128,0.99635,593.29
hnsw,16,-,-,256,4,200,0.99785,1170.22
hnsw,17,-,-,256,4,200,0.99635,418.16
hnsw,18,-,-,256,4,200,0.99635,669.76
threads,1,-,-,256,1,64,0.99995,6232.74
threads,2,-,-,256,1,64,0.99995,9450.11
threads,5,500,-,256,1,64,0.946104,1538.36
threads,6,500,-,256,1,64,0.946104,1572.96
threads,8,-,16,256,1,64,0.958303,456.64
threads,9,-,16,256,1,64,0.958303,642.89
threads,11,500,16,256,1,64,0.910653,499.57
threads,12,500,16,256,1,64,0.910653,563.67
