file,k,dist,tight,seed,opt
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208
instances/k08_uniform_loose_s2.txt,8,uniform,loose,2,59.5736
instances/k08_uniform_loose_s3.txt,8,uniform,loose,3,63.8606
instances/k08_uniform_loose_s4.txt,8,uniform,loose,4,57.2327
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063
instances/k08_linear_loose_s2.txt,8,linear,loose,2,40.2212
instances/k08_linear_loose_s3.txt,8,linear,loose,3,29.5417
instances/k08_linear_loose_s4.txt,8,linear,loose,4,38.2361
instances/k08_linear_tight_s0.txt,8,linear,tight,0,39.8728
instances/k08_linear_tight_s1.txt,8,linear,tight,1,57.0283
instances/k08_linear_tight_s2.txt,8,linear,tight,2,59.074
instances/k08_linear_tight_s3.txt,8,linear,tight,3,45.0271
instances/k08_linear_tight_s4.txt,8,linear,tight,4,68.7744
instances/k08_spiral_loose_s0.txt,8,spiral,loose,0,58.6299
instances/k08_spiral_loose_s1.txt,8,spiral,loose,1,57.7809
instances/k08_spiral_loose_s2.txt,8,spiral,loose,2,58.0431
instances/k08_spiral_loose_s3.txt,8,spiral,loose,3,58.1918
instances/k08_spiral_loose_s4.txt,8,spiral,loose,4,57.1983
instances/k08_spiral_tight_s0.txt,8,spiral,tight,0,76.6813
instances/k08_spiral_tight_s1.txt,8,spiral,tight,1,70.1399
instances/k08_spiral_tight_s2.txt,8,spiral,tight,2,80.4101
instances/k08_spiral_tight_s3.txt,8,spiral,tight,3,74.8171
instances/k08_spiral_tight_s4.txt,8,spiral,tight,4,84.621
instances/k08_sparse_loose_s0.txt,8,sparse,loose,0,154.8179
instances/k08_sparse_loose_s1.txt,8,sparse,loose,1,214.3954
instances/k08_sparse_loose_s2.txt,8,sparse,loose,2,174.5456
instances/k08_sparse_loose_s3.txt,8,sparse,loose,3,213.3813
instances/k08_sparse_loose_s4.txt,8,sparse,loose,4,178.3532
instances/k08_sparse_tight_s0.txt,8,sparse,tight,0,169.3907
instances/k08_sparse_tight_s1.txt,8,sparse,tight,1,262.8276
instances/k08_sparse_tight_s2.txt,8,sparse,tight,2,351.7513
instances/k08_sparse_tight_s3.txt,8,sparse,tight,3,352.8569
instances/k08_sparse_tight_s4.txt,8,sparse,tight,4,212.6258
instances/k10_uniform_loose_s0.txt,10,uniform,loose,0,78.0631
