file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,brute,0.000000,69.666793,1.000000,40320,0,0.443807,0.593128,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,dp,0.000000,69.666793,1.000000,889,0,0.016120,0.021845,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,dp_par,0.000000,69.666793,1.000000,889,0,0.022492,0.025408,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,dp_prune,0.000000,69.666793,1.000000,346,130,0.016140,0.022004,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,approx,0.000000,69.666793,1.000000,325,151,0.031489,0.036911,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,approx,0.020000,69.666793,1.000000,313,163,0.036719,0.037056,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,approx,0.050000,69.666793,1.000000,266,186,0.034876,0.035274,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,approx,0.100000,69.666793,1.000000,205,217,0.032712,0.033674,1
instances/k08_uniform_loose_s0.txt,8,uniform,loose,0,69.6668,approx,0.200000,69.666793,1.000000,90,190,0.026880,0.027580,1
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208,brute,0.000000,55.420844,1.000001,40320,0,0.575244,0.648675,1
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208,dp,0.000000,55.420844,1.000001,950,0,0.017643,0.024949,1
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208,dp_par,0.000000,55.420844,1.000001,950,0,0.027532,0.031129,1
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208,dp_prune,0.000000,55.420844,1.000001,569,177,0.035517,0.050084,1
instances/k08_uniform_loose_s1.txt,8,uniform,loose,1,55.4208,approx,0.000000,55.420844,1.000001,141,265,0.031059,0.045710,1
